,iso3c,country,region,year,gdp_percap,life_expect,population,birth_rate,neonat_mortal_rate,income
3616,QAT,Qatar,Middle East & North Africa,2006,7.0992189361890015,0.4856508572559353,-0.2646714226497281,-0.351461257685995,-0.452914798206278,0.9466532965655553
3617,QAT,Qatar,Middle East & North Africa,2007,7.216309239121075,0.49588245063534536,-0.2541632686494264,-0.3934004556478284,-0.4573991031390134,0.9466532965655553
3618,QAT,Qatar,Middle East & North Africa,2008,7.3566033862295885,0.5076105315976214,-0.24257951636136682,-0.42715759045589285,-0.4618834080717489,0.9466532965655553
3619,QAT,Qatar,Middle East & North Africa,2009,7.237490813733172,0.5207255579584176,-0.23142699624836832,-0.4516547855270572,-0.4708520179372197,0.9466532965655553
3620,QAT,Qatar,Middle East & North Africa,2010,7.936012149330565,0.5349024367835621,-0.22180938247144355,-0.466990029641606,-0.47533632286995514,0.9466532965655553
3621,QAT,Qatar,Middle East & North Africa,2011,8.54066259567167,0.5495563541534165,-0.21409133042958567,-0.47482913206437866,-0.4798206278026905,0.9466532965655553
3622,QAT,Qatar,Middle East & North Africa,2012,8.628003858338978,0.5640335905807874,-0.20801353819711524,-0.47845471693491093,-0.484304932735426,0.9466532965655553
3623,QAT,Qatar,Middle East & North Africa,2013,8.805149800131131,0.5778571075209576,-0.20328840733955175,-0.48085544205188513,-0.49327354260089684,0.9466532965655553
3624,QAT,Qatar,Middle East & North Africa,2014,9.031162743804424,0.5907742512261669,-0.1993844268260832,-0.4835011391195709,-0.4977578475336323,0.9466532965655553
3625,ROU,Romania,Europe & Central Asia,1990,-0.07183995928792783,-0.050717147945556526,0.9605942708119305,-0.39952475441561947,-0.0717488789237668,0.0
3626,ROU,Romania,Europe & Central Asia,1991,-0.10587850707146554,-0.047589895263541626,0.9495249854587385,-0.4779157786433454,-0.07623318385650221,0.0
3627,ROU,Romania,Europe & Central Asia,1992,-0.12541895672352343,-0.047589895263541626,0.938114211438905,-0.5073124127287426,-0.08071748878923762,0.0
3628,ROU,Romania,Europe & Central Asia,1993,-0.11254717773809292,-0.06359718865284016,0.9364040653202567,-0.5269101687856741,-0.08071748878923762,0.0
3629,ROU,Romania,Europe & Central Asia,1994,-0.09189610202267866,-0.06748416938755283,0.9345800161008789,-0.5318096077999069,-0.0852017937219731,0.0
3630,ROU,Romania,Europe & Central Asia,1995,-0.058456130335076184,-0.07137115012226448,0.932045961693808,-0.5563068028710713,-0.08968609865470852,0.0
3631,ROU,Romania,Europe & Central Asia,1996,-0.03705214681050434,-0.09681320584036501,0.9284459618041259,-0.5661056808995371,-0.08968609865470852,0.0
3632,ROU,Romania,Europe & Central Asia,1997,-0.06649709261127605,-0.10405712448232524,0.924859200047216,-0.5514073638568384,-0.08968609865470852,0.0
3633,ROU,Romania,Europe & Central Asia,1998,-0.08439971715855786,-0.045929094404157766,0.9222869205317648,-0.5514073638568384,-0.08968609865470852,0.0
3634,ROU,Romania,Europe & Central Asia,1999,-0.07687185826592997,0.005131697974526867,0.9203395912009441,-0.5563068028710713,-0.08968609865470852,0.0
3635,ROU,Romania,Europe & Central Asia,2000,-0.056977944492017825,0.05230550961850706,0.9187361775277731,-0.5563068028710713,-0.08968609865470852,0.0
3636,ROU,Romania,Europe & Central Asia,2001,-0.0045379434584768875,0.05212882867602246,0.9015817086513128,-0.5759045589280027,-0.09417040358744393,0.0
3637,ROU,Romania,Europe & Central Asia,2002,0.034357372231208175,0.04117461024184136,0.8794368498318619,-0.5906028759707014,-0.09417040358744393,0.0
3638,ROU,Romania,Europe & Central Asia,2003,0.08183980551666713,0.06290636616772102,0.8708226865190853,-0.5857034369564685,-0.10313901345291475,0.0
3639,ROU,Romania,Europe & Central Asia,2004,0.15633730169338128,0.08351672815163366,0.864061420523353,-0.5710051199137699,-0.12556053811659187,0.0
3640,ROU,Romania,Europe & Central Asia,2005,0.20074805091023437,0.10413433405418952,0.8567769724886779,-0.5563068028710713,-0.1524663677130045,0.0
3641,ROU,Romania,Europe & Central Asia,2006,0.32429863996148484,0.12474469603810319,0.8498310896996571,-0.5563068028710713,-0.18834080717488785,0.0
